DateTime,High,Low,Close
09/18/2013 13:18:16.102,0.25,-0.25,0.25
09/18/2013 13:18:26.362,0.0,-0.75,0.5
09/18/2013 13:18:45.984,0.0,-0.5,0.25
09/18/2013 13:18:58.389,0.5,-0.75,0.25
09/18/2013 13:19:15.063,0.25,-0.5,0.25
09/18/2013 13:19:23.262,0.75,-1.0,0.5
09/18/2013 13:19:36.146,0.25,-0.75,0.5
09/18/2013 13:19:50.751,0.0,-0.75,0.25
09/18/2013 13:20:03.337,0.5,-0.75,0.75
09/18/2013 13:20:08.839,0.25,-0.75,0.0
09/18/2013 13:20:13.177,0.5,-0.5,0.5
09/18/2013 13:20:18.553,0.5,-0.5,0.5
09/18/2013 13:20:22.282,0.5,-0.5,0.5
09/18/2013 13:20:34.438,0.25,-0.75,0.0
09/18/2013 13:20:43.843,0.0,-0.5,0.25
09/18/2013 13:20:58.811,0.75,-0.75,0.75
09/18/2013 13:21:06.851,0.0,-0.25,0.0
09/18/2013 13:21:21.028,0.0,-0.75,0.5
09/18/2013 13:21:24.421,0.75,-0.75,0.5
09/18/2013 13:21:29.060,0.5,-0.75,0.5
09/18/2013 13:21:31.534,0.5,-0.5,0.5
09/18/2013 13:21:35.494,0.25,-1.0,0.75
09/18/2013 13:21:39.954,0.25,-0.5,0.5
09/18/2013 13:21:45.266,0.0,-0.75,0.0
09/18/2013 13:21:49.479,1.25,-1.5,1.25
09/18/2013 13:21:53.229,0.25,-0.75,0.75
09/18/2013 13:21:57.492,0.25,-0.75,0.25
09/18/2013 13:22:00.316,0.75,-0.75,0.5
09/18/2013 13:22:07.127,0.25,-0.5,0.25
09/18/2013 13:22:14.034,0.0,-0.75,0.5
09/18/2013 13:22:17.539,0.5,-0.75,0.5
09/18/2013 13:22:22.703,0.0,-0.5,0.5
09/18/2013 13:22:31.297,0.25,-0.5,0.25
09/18/2013 13:22:34.308,0.25,-0.5,0.5
09/18/2013 13:22:41.536,0.5,-0.5,0.0
09/18/2013 13:22:48.374,0.5,-0.75,0.75
09/18/2013 13:22:51.847,0.25,-0.5,0.0
09/18/2013 13:23:00.503,0.25,-0.5,0.5
09/18/2013 13:23:00.924,0.5,-0.5,0.25
09/18/2013 13:23:05.984,0.0,-0.75,0.5
09/18/2013 13:23:13.123,0.25,-0.5,0.0
09/18/2013 13:23:24.820,0.25,-0.75,0.25
09/18/2013 13:23:35.475,0.25,-0.5,0.5
09/18/2013 13:23:48.192,0.5,-0.75,0.75
09/18/2013 13:23:57.518,0.0,-1.0,0.0
